Davenport Hall,College of Fine and Applied Arts Performing Arts Annex,2.2
Davenport Hall,McKinley Health Center,1.1
Davenport Hall,Harding Band Building,2.2
Davenport Hall,Gym Annex,1.6
Davenport Hall,Armory,2.8
Davenport Hall,Foellinger Auditorium,0.2
Davenport Hall,Agricultural Engineering Sciences Building,1.5
Davenport Hall,Ceramics Kiln House,1.1
Davenport Hall,Noyes Laboratory of Chemistry,1.2
Davenport Hall,Talbot Laboratory,1.6
Davenport Hall,Ice Arena,2.5
Davenport Hall,Engineering Hall,1.1
Davenport Hall,Advanced Computation Building,1.2
Davenport Hall,Architecture Annex,1.2
Davenport Hall,Physiology Research Laboratory,3.8
Davenport Hall,H.E. Kenney Gymnasium,1.6
Davenport Hall,Illini Union,1.2
Davenport Hall,Nathan M. Newmark Civil Engineering Laboratory,1.5
Davenport Hall,Oliver Albert Harker Hall,1.2
Davenport Hall,Altgeld Hall,1.4
Davenport Hall,Lincoln Hall,2.6
Davenport Hall,Mechanical Engineering Laboratory,1.1
Davenport Hall,Natural History Building,1.2
Davenport Hall,Observatory,0.2
Davenport Hall,Materials Science and Engineering Building,1.0
Davenport Hall,William L. Everitt Laboratory,1.2
Davenport Hall,Music Building,0.5
Davenport Hall,Stock Pavilion,1.5
Davenport Hall,Main Library,2.5
Davenport Hall,Transportation Building,1.1
Davenport Hall,Gregory Hall,2.5
Davenport Hall,English Building,1.8
Davenport Hall,David Dodds Henry Administration Building,1.5
Davenport Hall,Nuclear Radiation Laboratory,0.9
Davenport Hall,Architecture Building,2.2
Davenport Hall,Krannert Center for Performing Arts,0.5
Davenport Hall,David Kinley Hall,0.9
Davenport Hall,Ceramics Building,0.9
Davenport Hall,Victor E. Shelford Vivarium,1.6
Davenport Hall,George Huff Hall,2.4
Davenport Hall,Richard D. and Anne Marie Irwin Doctoral Study Hall,3.1
Davenport Hall,Smith Memorial Hall,0.2
Davenport Hall,University High School,1.2
Davenport Hall,Child Development Laboratory,0.9
Davenport Hall,University High School Gymnasium,1.2
Davenport Hall,Louise Freer Hall,0.7
Davenport Hall,Illini Hall,1.3
Davenport Hall,Frederick Seitz Materials Research Laboratory,0.9
Davenport Hall,Loomis Laboratory of Physics,0.9
Davenport Hall,Horticulture Field Laboratory,2.2
Davenport Hall,Mumford Hall,0.7
Davenport Hall,Student Services Arcade Building,1.4
Davenport Hall,Memorial Stadium,3.1
Davenport Hall,Agricultural Bioprocess Laboratory,1.5
Davenport Hall,Institute of Government and Public Affairs Building,0.5
Davenport Hall,Children's Research Center,4.6
Davenport Hall,Psychology Laboratory,0.5
Davenport Hall,Plant Services Building - Northeast,3.8
Davenport Hall,Snyder Hall,2.5
Davenport Hall,Scott Hall,2.5
Davenport Hall,Weston Hall,2.4
Davenport Hall,Hopkins Hall,3.7
Davenport Hall,Lundgren Hall,2.4
Davenport Hall,Clark Hall,2.4
Davenport Hall,Barton Hall,2.4
Davenport Hall,Flagg Hall,2.3
Davenport Hall,Noble Hall,2.3
Davenport Hall,Van Doren Hall,2.2
Davenport Hall,Taft Hall,2.2
Davenport Hall,Alice Campbell Alumni Center,1.0
Davenport Hall,Superconductivity Center,0.9
Davenport Hall,Parking Structure Lot C7,1.7
Davenport Hall,Undergraduate Library,0.9
Davenport Hall,President's House,1.8
Davenport Hall,Blaisdell Hall,1.4
Davenport Hall,Saunders Hall,1.6
Davenport Hall,Babcock Hall,1.6
Davenport Hall,Carr Hall,1.5
Davenport Hall,Illini Union Bookstore,1.7
Davenport Hall,Computing Applications Building,1.6
Davenport Hall,Natural Resources Building,2.0
Davenport Hall,Nuclear Physics Laboratory,4.0
Davenport Hall,Busey Hall,0.4
Davenport Hall,Sidney Lu Mechanical Engineering Building,0.9
Davenport Hall,Evans Hall,0.4
Davenport Hall,Nuclear Engineering Laboratory,0.9
Davenport Hall,William Lamont Abbott Power Plant,4.2
Davenport Hall,FSI - Firemanship Training Facilities,4.8
Davenport Hall,Radio Transmitter Station,3.2
Davenport Hall,National Soybean Research Center,1.0
Davenport Hall,Mumford House,2.2
Davenport Hall,Margaret H. and William E. Levis Faculty Center,0.9
Davenport Hall,Geological Survey Laboratory,4.2
Davenport Hall,Coble Hall,1.4
Davenport Hall,Turner Hall Greenhouses,1.1
Davenport Hall,Natural Resources Garage,1.7
Davenport Hall,Natural History Survey Greenhouse,4.0
Davenport Hall,Student-Staff Apartments - 300 S Goodwin,0.8
Davenport Hall,Burrill Hall,1.2
Davenport Hall,College of Veterinary Medicine South Clinic,2.5
Davenport Hall,Lincoln Avenue Residence Hall,1.0
Davenport Hall,Allen Residence Hall,0.7
Davenport Hall,Dalkey Archive Press (PSSB),2.9
Davenport Hall,1205 W Nevada St,0.2
Davenport Hall,Coordinated Science Laboratory,1.5
Davenport Hall,1204 W Nevada St,0.3
Davenport Hall,Civil and Environmental Engineering Building,1.5
Davenport Hall,Personnel Services Building,4.1
Davenport Hall,Law Building,1.9
Davenport Hall,African American Studies,0.3
Davenport Hall,Bevier Hall,0.4
Davenport Hall,Wohlers Hall,2.1
Davenport Hall,Education Building,1.9
Davenport Hall,1401 S Maryland Dr,1.2
Davenport Hall,Engineering Senior Design Laboratory,1.3
Davenport Hall,Plant Services Storage Building,1.4
Davenport Hall,Structural Warehouse,1.7
Davenport Hall,Animal Sciences Laboratory,0.7
Davenport Hall,State Farm Center,3.1
Davenport Hall,Central Receiving Building,3.7
Davenport Hall,Meat Science Laboratory,0.6
Davenport Hall,Foreign Languages Building,0.2
Davenport Hall,Engineering Sciences Building,1.3
Davenport Hall,Rehabilitation Education Center,4.0
Davenport Hall,Seward Staley Illini Grove,1.2
Davenport Hall,Student Staff Air Conditioning Center,1.5
Davenport Hall,Arthur Hill Daniels Hall,1.4
Davenport Hall,Wood Engineering Laboratory,1.6
Davenport Hall,1208 W Nevada St,0.2
Davenport Hall,H.P. Gas Regulating and Reducing Station,4.2
